Language	Stars	GitHub Link
xdpw	295	https://github.com/vtereshkov/xdpw
calysto_scheme	294	https://github.com/Calysto/calysto_scheme
tensorlang	292	https://github.com/tensorlang/tensorlang
GdScript2All	291	https://github.com/Lcbx/GdScript2All
scpl	287	https://github.com/pfgithub/scpl
One	287	https://github.com/One-Language/One
Roadmap-to-become-a-professional-Software-Engineer	286	https://github.com/MohamedAdelZidane/Roadmap-to-become-a-professional-Software-Engineer
guide-to-interpreters-series	285	https://github.com/tlaceby/guide-to-interpreters-series
xl	284	https://github.com/c3d/xl
chaos	283	https://github.com/chaos-lang/chaos
tinybasic	282	https://github.com/slviajero/tinybasic
mech	280	https://github.com/mech-lang/mech
scrap	279	https://github.com/Grisshink/scrap
C-CPP-Programming	279	https://github.com/The-Young-Programmer/C-CPP-Programming
computer_science	278	https://github.com/shhossain/computer_science
awesome-programming-presentations	278	https://github.com/techgaun/awesome-programming-presentations
Dictu	278	https://github.com/dictu-lang/Dictu
mimium	274	https://github.com/mimium-org/mimium
ol	274	https://github.com/yuriy-chumak/ol
eldiro	272	https://github.com/lunacookies/eldiro
NPLRuntime	272	https://github.com/LiXizhi/NPLRuntime
millfork	271	https://github.com/KarolS/millfork
cerberus	269	https://github.com/PhilMoe/cerberus
Chap	269	https://github.com/ali77gh/Chap
fathom	268	https://github.com/yeslogic/fathom
potigol	266	https://github.com/potigol/potigol
PatternLanguage	263	https://github.com/WerWolv/PatternLanguage
t-ruby	262	https://github.com/type-ruby/t-ruby
MessiScriptInterpreter	260	https://github.com/Erawaa/MessiScriptInterpreter
cognate	260	https://github.com/cognate-lang/cognate
KiVM	258	https://github.com/imkiva/KiVM
Corvid-lang	258	https://github.com/Micrurus-Ai/Corvid-lang
mcscript	257	https://github.com/Stevertus/mcscript
Toy	257	https://github.com/krgamestudios/Toy
3bc-lang	256	https://github.com/RodrigoDornelles/3bc-lang
oak	251	https://github.com/thesephist/oak
jason	251	https://github.com/jason-lang/jason
panda	251	https://github.com/panda-lang/panda
tokay	251	https://github.com/tokay-lang/tokay
tampio	245	https://github.com/fergusq/tampio
elena-lang	241	https://github.com/ELENA-LANG/elena-lang
the_namingless_programming_language	241	https://github.com/akalenuk/the_namingless_programming_language
kinx	239	https://github.com/Kray-G/kinx
WurstScript	238	https://github.com/wurstscript/WurstScript
orion	237	https://github.com/Wafelack/orion
equations	237	https://github.com/rocq-prover/equations
splash	237	https://github.com/gonzula/splash
purec	236	https://github.com/pure-c/purec
jaws	235	https://github.com/lawndoc/jaws
blisp	234	https://github.com/ytakano/blisp
LoLa	234	https://github.com/ikskuh/LoLa
PyBasic	232	https://github.com/richpl/PyBasic
covscript	232	https://github.com/covscript/covscript
Sparkling	232	https://github.com/H2CO3/Sparkling
kin	231	https://github.com/kin-lang/kin
retina	229	https://github.com/m-ender/retina
fika	227	https://github.com/fika-lang/fika
compis	227	https://github.com/rsms/compis
Yaksha	227	https://github.com/YakshaLang/Yaksha
awesome-mojo	225	https://github.com/ego/awesome-mojo
gscript	224	https://github.com/crossoverJie/gscript
Notes	224	https://github.com/Max-Starling/Notes
emuto	223	https://github.com/kantord/emuto
alumina	219	https://github.com/alumina-lang/alumina
Handel	218	https://github.com/ddj231/Handel
glistix	218	https://github.com/Glistix/glistix
The-C-Programming-Language	217	https://github.com/fsaadatmand/The-C-Programming-Language
ixion	216	https://github.com/ixionlang/ixion
morloc	215	https://github.com/morloc-project/morloc
zigself	214	https://github.com/sin-ack/zigself
PLASMA	212	https://github.com/dschmenk/PLASMA
DispatchDoctor.jl	211	https://github.com/MilesCranmer/DispatchDoctor.jl
rant	210	https://github.com/rant-lang/rant
jsbasic	208	https://github.com/inexorabletash/jsbasic
sml-compiler	205	https://github.com/SomewhatML/sml-compiler
LensorCompilerCollection	202	https://github.com/LensPlaysGames/LensorCompilerCollection
charly	201	https://github.com/charly-lang/charly
Elymas	200	https://github.com/Drahflow/Elymas
awesome-basic	200	https://github.com/JohnBlood/awesome-basic
DWScript	200	https://github.com/EricGrange/DWScript
publicodes	199	https://github.com/publicodes/publicodes
Tiny-Lua-Compiler	199	https://github.com/bytexenon/Tiny-Lua-Compiler
p4-spec	198	https://github.com/p4lang/p4-spec
Python-for-beginners	197	https://github.com/mraza007/Python-for-beginners
Forscape	196	https://github.com/JohnDTill/Forscape
prog8	195	https://github.com/irmen/prog8
blade	194	https://github.com/blade-lang/blade
easylang	194	https://github.com/chkas/easylang
rajiniPP	192	https://github.com/aadhithya/rajiniPP
jspp	191	https://github.com/onux/jspp
cubiml-demo	190	https://github.com/Storyyeller/cubiml-demo
Ezhil-Lang	189	https://github.com/Ezhil-Language-Foundation/Ezhil-Lang
